time_s,altitude_km,velocity_mps,accel_mps2,dynamic_pressure_kPa,mass_kg
0,0.0,0.0,0.0,0.0,2614000
1,0.002,1.1,2.22,0.001,2601443
2,0.01,4.3,4.07,0.011,2588887
3,0.024,9.2,5.56,0.051,2576330
4,0.044,15.3,6.69,0.143,2563773
5,0.071,22.4,7.45,0.305,2551217
6,0.106,30.1,7.86,0.549,2538660
7,0.15,38.0,7.9,0.872,2526104
8,0.203,45.8,7.76,1.262,2513547
9,0.265,53.5,7.62,1.71,2500990
10,0.335,61.1,7.48,2.212,2488434
11,0.414,68.5,7.35,2.76,2475877
12,0.501,75.8,7.21,3.35,2463320
13,0.596,82.9,7.08,3.975,2450764
14,0.699,89.9,6.95,4.629,2438207
15,0.81,96.8,6.82,5.307,2425650
16,0.927,103.6,6.69,6.003,2413094
17,1.052,110.2,6.56,6.713,2400537
18,1.183,116.7,6.43,7.431,2387981
19,1.321,123.0,6.3,8.152,2375424
20,1.466,129.3,6.18,8.872,2362867
21,1.616,135.4,6.05,9.586,2350311
22,1.772,141.4,5.93,10.292,2337754
23,1.933,147.3,5.81,10.985,2325197
24,2.1,153.0,5.69,11.662,2312641
25,2.272,158.6,5.57,12.319,2300084
26,2.449,164.1,5.45,12.955,2287527
27,2.631,169.5,5.33,13.567,2274971
28,2.816,174.8,5.22,14.153,2262414
29,3.006,180.0,5.1,14.711,2249858
30,3.2,185.0,4.99,15.239,2237301
31,3.397,189.9,4.88,15.738,2224744
32,3.598,194.8,4.8,16.208,2212188
33,3.802,199.5,4.75,16.652,2199631
34,4.009,204.3,4.71,17.073,2187074
35,4.219,209.0,4.69,17.475,2174518
36,4.432,213.7,4.7,17.86,2161961
37,4.647,218.4,4.73,18.231,2149404
38,4.865,223.1,4.78,18.592,2136848
39,5.085,227.9,4.85,18.947,2124291
40,5.307,232.8,4.94,19.297,2111735
41,5.531,237.8,5.06,19.647,2099178
42,5.757,242.9,5.19,19.999,2086621
43,5.984,248.2,5.35,20.358,2074065
44,6.213,253.7,5.53,20.726,2061508
45,6.442,259.3,5.73,21.105,2048951
46,6.673,265.1,5.95,21.501,2036395
47,6.905,271.2,6.2,21.914,2023838
48,7.137,277.5,6.47,22.349,2011281
49,7.37,284.1,6.76,22.808,1998725
50,7.603,291.0,7.07,23.295,1986168
51,7.837,298.3,7.4,23.811,1973612
52,8.07,305.9,7.75,24.361,1961055
53,8.303,313.8,8.13,24.948,1948498
54,8.536,322.1,8.52,25.573,1935942
55,8.768,330.8,8.94,26.241,1923385
56,9.0,340.0,9.38,26.954,1910828
57,9.231,349.6,9.81,27.713,1898272
58,9.462,359.6,10.2,28.509,1885715
59,9.696,370.0,10.55,29.328,1873158
60,9.932,380.7,10.86,30.159,1860602
61,10.173,391.7,11.13,30.986,1848045
62,10.42,402.9,11.35,31.794,1835489
63,10.674,414.4,11.54,32.568,1822932
64,10.936,426.0,11.69,33.293,1810375
65,11.208,437.8,11.79,33.744,1797819
66,11.491,449.6,11.85,34.036,1785262
67,11.787,461.4,11.88,34.223,1772705
68,12.097,473.3,11.86,34.291,1760149
69,12.421,485.1,11.8,34.228,1747592
70,12.763,496.9,11.7,34.025,1735036
71,13.122,508.5,11.56,33.675,1722479
72,13.5,520.0,11.38,33.172,1709922
73,13.898,531.3,11.2,32.519,1697366
74,14.317,542.4,11.06,31.732,1684809
75,14.754,553.4,10.96,30.833,1672252
76,15.209,564.3,10.91,29.842,1659696
77,15.682,575.3,10.9,28.779,1647139
78,16.171,586.2,10.94,27.663,1634582
79,16.676,597.1,11.02,26.51,1622026
80,17.196,608.2,11.14,25.336,1609469
81,17.731,619.4,11.3,24.154,1596913
82,18.279,630.8,11.51,22.977,1584356
83,18.84,642.5,11.76,21.814,1571799
84,19.413,654.4,12.05,20.675,1559243
85,19.997,666.6,12.39,19.566,1546686
86,20.592,679.1,12.77,18.445,1534129
87,21.197,692.1,13.19,17.373,1521573
88,21.81,705.5,13.65,16.354,1509016
89,22.431,719.4,14.16,15.388,1496459
90,23.06,733.9,14.71,14.477,1483903
91,23.696,748.9,15.31,13.619,1471346
92,24.337,764.5,15.94,12.814,1458790
93,24.983,780.8,16.62,12.061,1446233
94,25.634,797.8,17.35,11.358,1433676
95,26.288,815.5,18.11,10.703,1421120
96,26.945,834.0,18.92,10.094,1408563
97,27.604,853.3,19.77,9.529,1396006
98,28.264,873.6,20.67,9.006,1383450
99,28.925,894.7,21.61,8.521,1370893
100,29.585,916.8,22.59,8.073,1358336
101,30.244,939.9,23.61,7.66,1345780
102,30.902,964.0,24.68,7.279,1333223
103,31.556,989.3,25.79,6.929,1320667
104,32.208,1015.6,26.95,6.515,1308110
105,32.855,1043.2,28.14,5.961,1295553
106,33.497,1071.9,29.38,5.471,1282997
107,34.133,1101.9,30.66,5.037,1270440
108,34.763,1133.3,31.99,4.653,1257883
109,35.385,1165.9,33.36,4.313,1245327
110,36.0,1200.0,34.77,4.011,1232770
111,36.606,1235.5,36.12,3.742,1220213
112,37.205,1272.2,37.31,3.501,1207657
113,37.799,1310.0,38.33,3.282,1195100
114,38.389,1348.8,39.18,3.081,1182544
115,38.977,1388.3,39.87,2.894,1169987
116,39.566,1428.5,40.39,2.719,1157430
117,40.156,1469.0,40.75,2.552,1144874
118,40.749,1509.9,40.94,2.394,1132317
119,41.347,1550.9,40.96,2.241,1119760
120,41.953,1591.8,40.82,2.094,1107204
121,42.567,1632.5,40.52,1.952,1094647
122,43.191,1672.7,40.04,1.814,1082090
123,43.828,1712.5,39.41,1.68,1069534
124,44.478,1751.5,38.6,1.551,1056977
125,45.144,1789.6,37.64,1.425,1044421
126,45.828,1826.7,36.5,1.304,1031864
127,46.53,1862.6,35.2,1.187,1019307
128,47.254,1897.1,33.74,2.488,1006751
129,48.0,1930.0,32.1,2.344,994194
130,48.77,1961.3,30.42,2.196,820180
131,49.563,1990.9,28.8,2.047,818166
132,50.379,2018.9,27.24,1.899,816152
133,51.216,2045.4,25.74,1.758,814138
134,52.073,2070.4,24.3,1.631,812124
135,52.95,2094.0,22.92,1.508,810110
136,53.844,2116.2,21.6,1.389,808096
137,54.756,2137.2,20.35,1.275,806082
138,55.683,2156.9,19.15,1.167,804068
139,56.626,2175.5,18.02,1.065,802054
140,57.582,2193.0,16.95,0.969,800040
141,58.552,2209.4,15.93,0.88,798026
142,59.533,2224.9,14.98,0.797,796012
143,60.526,2239.4,14.09,0.72,793998
144,61.528,2253.1,13.27,0.65,791984
145,62.539,2266.0,12.5,0.586,789970
146,63.558,2278.1,11.79,0.527,787956
147,64.583,2289.6,11.15,0.473,785942
148,65.614,2300.4,10.56,0.425,783928
149,66.65,2310.7,10.04,0.381,781914
150,67.689,2320.5,9.58,0.341,779900
151,68.731,2329.9,9.18,0.306,777886
152,69.774,2338.9,8.84,0.274,775872
153,70.818,2347.6,8.56,0.245,773858
154,71.861,2356.0,8.34,0.219,771844
155,72.902,2364.3,8.18,0.196,769830
156,73.941,2372.4,8.09,0.176,767816
157,74.976,2380.5,8.05,0.158,765802
158,76.007,2388.5,8.08,0.141,763788
159,77.031,2396.7,8.17,0.127,761774
160,78.049,2404.9,8.32,0.114,759760
161,79.059,2413.3,8.53,0.102,757746
162,80.06,2422.0,8.8,0.092,755732
163,81.052,2430.9,9.13,0.083,753718
164,82.032,2440.3,9.52,0.074,751704
165,83.0,2450.0,9.98,0.066,749690
166,83.955,2460.2,10.45,0.059,747676
167,84.898,2470.9,10.91,0.053,745662
168,85.827,2482.0,11.34,0.047,743648
169,86.743,2493.6,11.76,0.021,741634
170,87.647,2505.5,12.16,0.019,739620
171,88.538,2517.9,12.54,0.018,737606
172,89.416,2530.6,12.9,0.017,735592
173,90.281,2543.7,13.25,0.017,733578
174,91.134,2557.1,13.57,0.016,731564
175,91.974,2570.8,13.88,0.015,729550
176,92.802,2584.9,14.16,0.014,727536
177,93.617,2599.2,14.43,0.014,725522
178,94.419,2613.7,14.68,0.013,723508
179,95.21,2628.5,14.9,0.012,721494
180,95.988,2643.5,15.11,0.012,719480
181,96.753,2658.7,15.31,0.011,717466
182,97.507,2674.1,15.48,0.011,715452
183,98.248,2689.7,15.63,0.01,713438
184,98.977,2705.4,15.76,0.01,711424
185,99.694,2721.2,15.88,0.01,709410
186,100.399,2737.1,15.98,0.009,707396
187,101.092,2753.1,16.05,0.009,705382
188,101.772,2769.2,16.11,0.009,703368
189,102.442,2785.4,16.15,0.008,701354
190,103.099,2801.5,16.17,0.008,699340
191,103.744,2817.7,16.17,0.008,697326
192,104.378,2833.9,16.16,0.007,695312
193,105.0,2850.0,16.12,0.007,693298
194,105.61,2866.1,16.07,0.007,683884
195,106.209,2882.1,16.03,0.007,681870
196,106.797,2898.2,15.98,0.006,679856
197,107.374,2914.1,15.94,0.006,677842
198,107.94,2930.0,15.89,0.006,675828
199,108.496,2945.9,15.85,0.006,673814
200,109.041,2961.7,15.8,0.006,671800
201,109.576,2977.5,15.76,0.006,669786
202,110.101,2993.2,15.71,0.005,667772
203,110.617,3008.9,15.67,0.005,665758
204,111.123,3024.6,15.63,0.005,663744
205,111.62,3040.2,15.58,0.005,661730
206,112.108,3055.7,15.54,0.005,659716
207,112.587,3071.3,15.5,0.005,657702
208,113.058,3086.7,15.45,0.005,655688
209,113.52,3102.2,15.41,0.005,653674
210,113.974,3117.6,15.37,0.004,651660
211,114.42,3132.9,15.32,0.004,649646
212,114.859,3148.2,15.28,0.004,647632
213,115.29,3163.5,15.24,0.004,645618
214,115.714,3178.7,15.2,0.004,643604
215,116.131,3193.9,15.16,0.004,641590
216,116.541,3209.0,15.11,0.004,639576
217,116.944,3224.1,15.07,0.004,637562
218,117.341,3239.1,15.03,0.004,635548
219,117.732,3254.1,14.99,0.004,633534
220,118.117,3269.1,14.95,0.004,631520
221,118.496,3284.0,14.91,0.004,629506
222,118.87,3298.9,14.87,0.004,627492
223,119.238,3313.8,14.83,0.003,625478
224,119.602,3328.6,14.79,0.003,623464
225,119.961,3343.3,14.75,0.003,621450
226,120.315,3358.1,14.71,0.003,619436
227,120.664,3372.8,14.67,0.003,617422
228,121.01,3387.4,14.63,0.003,615408
229,121.351,3402.0,14.59,0.003,613394
230,121.689,3416.6,14.55,0.003,611380
231,122.023,3431.1,14.51,0.003,609366
232,122.354,3445.6,14.47,0.003,607352
233,122.682,3460.1,14.43,0.003,605338
234,123.007,3474.5,14.39,0.003,603324
235,123.33,3488.8,14.36,0.003,601310
236,123.65,3503.2,14.32,0.003,599296
237,123.968,3517.5,14.28,0.003,597282
238,124.284,3531.7,14.24,0.003,595268
239,124.598,3546.0,14.2,0.003,593254
240,124.91,3560.2,14.17,0.003,591240
241,125.222,3574.3,14.13,0.003,589226
242,125.532,3588.4,14.09,0.003,587212
243,125.841,3602.5,14.06,0.003,585198
244,126.15,3616.5,14.02,0.002,583184
245,126.458,3630.5,13.98,0.002,581170
246,126.766,3644.5,13.95,0.002,579156
247,127.074,3658.4,13.91,0.002,577142
248,127.382,3672.3,13.88,0.002,575128
249,127.691,3686.2,13.84,0.002,573114
250,128.0,3700.0,13.8,0.002,571100
251,128.31,3713.8,13.77,0.002,569086
252,128.621,3727.5,13.74,0.002,567072
253,128.933,3741.3,13.71,0.002,565058
254,129.246,3755.0,13.69,0.002,563044
255,129.559,3768.6,13.67,0.002,561030
256,129.873,3782.3,13.65,0.002,559016
257,130.188,3795.9,13.63,0.002,557002
258,130.503,3809.6,13.62,0.002,554988
259,130.819,3823.2,13.61,0.002,552974
260,131.136,3836.8,13.6,0.002,550960
261,131.453,3850.4,13.6,0.002,548946
262,131.771,3864.0,13.6,0.002,546932
263,132.089,3877.6,13.6,0.002,544918
264,132.408,3891.2,13.6,0.002,542904
265,132.727,3904.8,13.61,0.002,540890
266,133.046,3918.4,13.62,0.002,538876
267,133.366,3932.0,13.63,0.002,536862
268,133.686,3945.7,13.65,0.002,534848
269,134.007,3959.3,13.67,0.002,532834
270,134.328,3973.0,13.69,0.002,530820
271,134.649,3986.7,13.72,0.002,528806
272,134.97,4000.4,13.75,0.002,526792
273,135.291,4014.2,13.78,0.002,524778
274,135.613,4028.0,13.81,0.002,522764
275,135.934,4041.8,13.85,0.002,520750
276,136.256,4055.7,13.89,0.002,518736
277,136.578,4069.6,13.94,0.001,516722
278,136.9,4083.6,13.98,0.001,514708
279,137.221,4097.6,14.03,0.001,512694
280,137.543,4111.6,14.08,0.001,510680
281,137.865,4125.8,14.14,0.001,508666
282,138.186,4139.9,14.2,0.001,506652
283,138.508,4154.2,14.26,0.001,504638
284,138.829,4168.4,14.32,0.001,502624
285,139.15,4182.8,14.39,0.001,500610
286,139.471,4197.2,14.46,0.001,498596
287,139.791,4211.7,14.54,0.001,496582
288,140.111,4226.3,14.61,0.001,494568
289,140.431,4241.0,14.69,0.001,492554
290,140.75,4255.7,14.77,0.001,490540
291,141.069,4270.5,14.86,0.001,488526
292,141.388,4285.4,14.95,0.001,486512
293,141.706,4300.4,15.04,0.001,484498
294,142.024,4315.5,15.13,0.001,482484
295,142.341,4330.7,15.23,0.001,480470
296,142.657,4345.9,15.33,0.001,478456
297,142.973,4361.3,15.43,0.001,476442
298,143.288,4376.8,15.54,0.001,474428
299,143.603,4392.4,15.65,0.001,472414
300,143.917,4408.1,15.76,0.001,470400
301,144.23,4423.9,15.88,0.001,468386
302,144.543,4439.9,15.99,0.001,466372
303,144.854,4455.9,16.11,0.001,464358
304,145.165,4472.1,16.24,0.001,462344
305,145.475,4488.4,16.37,0.001,460330
306,145.784,4504.8,16.5,0.001,458316
307,146.092,4521.4,16.63,0.001,456302
308,146.4,4538.1,16.76,0.001,454288
309,146.706,4554.9,16.9,0.001,452274
310,147.011,4571.9,17.05,0.001,450260
311,147.315,4589.0,17.19,0.001,448246
312,147.618,4606.3,17.34,0.001,446232
313,147.92,4623.7,17.49,0.001,444218
314,148.221,4641.2,17.64,0.001,442204
315,148.521,4659.0,17.8,0.001,440190
316,148.819,4676.8,17.96,0.001,438176
317,149.116,4694.9,18.12,0.001,436162
318,149.412,4713.1,18.29,0.001,434148
319,149.707,4731.5,18.46,0.001,432134
320,150.0,4750.0,18.63,0.001,430120
321,150.292,4768.7,18.8,0.001,428106
322,150.582,4787.6,18.96,0.001,426092
323,150.872,4806.6,19.12,0.001,424078
324,151.16,4825.8,19.27,0.001,422064
325,151.446,4845.2,19.42,0.001,420050
326,151.731,4864.7,19.56,0.001,418036
327,152.015,4884.3,19.7,0.001,416022
328,152.298,4904.1,19.83,0.001,414008
329,152.579,4924.0,19.95,0.001,411994
330,152.859,4944.0,20.07,0.001,409980
331,153.138,4964.1,20.18,0.001,407966
332,153.416,4984.3,20.29,0.001,405952
333,153.692,5004.7,20.39,0.001,403938
334,153.967,5025.1,20.48,0.001,401924
335,154.241,5045.6,20.57,0.001,399910
336,154.514,5066.2,20.66,0.001,397896
337,154.785,5086.9,20.73,0.001,395882
338,155.056,5107.7,20.81,0.001,393868
339,155.325,5128.6,20.87,0.001,391854
340,155.593,5149.5,20.93,0.001,389840
341,155.86,5170.4,20.99,0.001,387826
342,156.126,5191.4,21.04,0.001,385812
343,156.39,5212.5,21.08,0.001,383798
344,156.654,5233.6,21.11,0.001,381784
345,156.916,5254.7,21.15,0.001,379770
346,157.178,5275.9,21.17,0.001,377756
347,157.438,5297.1,21.19,0.001,375742
348,157.697,5318.3,21.21,0.001,373728
349,157.956,5339.5,21.21,0.001,371714
350,158.213,5360.7,21.22,0.001,369700
351,158.469,5381.9,21.21,0.001,367686
352,158.724,5403.1,21.2,0.001,365672
353,158.978,5424.3,21.19,0.001,363658
354,159.231,5445.5,21.17,0.001,361644
355,159.483,5466.6,21.14,0.001,359630
356,159.734,5487.7,21.11,0.001,357616
357,159.985,5508.8,21.07,0.001,355602
358,160.234,5529.9,21.03,0.0,353588
359,160.482,5550.9,20.98,0.0,351574
360,160.73,5571.8,20.92,0.0,349560
361,160.976,5592.7,20.86,0.0,347546
362,161.222,5613.5,20.79,0.0,345532
363,161.466,5634.3,20.72,0.0,343518
364,161.71,5655.0,20.64,0.0,341504
365,161.953,5675.6,20.55,0.0,339490
366,162.195,5696.1,20.46,0.0,337476
367,162.437,5716.5,20.37,0.0,335462
368,162.677,5736.8,20.27,0.0,333448
369,162.917,5757.0,20.16,0.0,331434
370,163.155,5777.1,20.04,0.0,329420
371,163.393,5797.1,19.93,0.0,327406
372,163.631,5817.0,19.8,0.0,325392
373,163.867,5836.7,19.67,0.0,323378
374,164.103,5856.3,19.53,0.0,321364
375,164.338,5875.8,19.39,0.0,319350
376,164.572,5895.1,19.24,0.0,317336
377,164.805,5914.3,19.09,0.0,315322
378,165.038,5933.3,18.93,0.0,313308
379,165.27,5952.1,18.76,0.0,311294
380,165.501,5970.8,18.59,0.0,309280
381,165.732,5989.3,18.41,0.0,307266
382,165.962,6007.6,18.23,0.0,305252
383,166.191,6025.8,18.04,0.0,303238
384,166.42,6043.7,17.85,0.0,301224
