timestamp,top_left,top_right,bottom_left,bottom_right
0.0,32.1,33.0,32.2,32.6
0.5,32.1,33.1,32.2,32.5
1.0,32.1,33.1,32.3,32.5
1.5,32.2,33.1,32.3,32.4
2.0,32.2,33.1,32.3,32.4
2.5,32.2,33.1,32.2,32.4
3.0,32.1,33.1,32.2,32.4
3.5,32.1,33.1,32.2,32.4
4.0,32.1,33.1,32.2,32.4
4.5,32.2,33.0,32.2,32.4
5.0,32.2,33.0,32.2,32.5
5.5,32.2,33.0,32.2,32.5
6.0,32.2,33.2,32.2,32.7
6.5,32.4,33.4,32.5,32.8
7.0,32.6,33.6,32.6,33.0
7.5,32.8,33.8,33.0,33.2
8.0,33.2,34.0,33.2,33.4
8.5,33.3,34.2,33.3,33.6
9.0,33.4,34.4,33.5,33.7
9.5,33.6,34.4,33.6,33.8
10.0,33.6,34.5,33.6,33.8
10.5,33.6,34.5,33.6,33.9
11.0,33.5,34.5,33.6,33.9
11.5,33.5,34.5,33.6,33.9
12.0,33.5,34.6,33.6,33.9
12.5,33.5,34.6,33.6,33.9
13.0,33.6,34.6,33.7,33.9
13.5,33.6,34.6,33.7,33.9
14.0,33.6,34.6,33.7,33.9
14.5,33.6,34.6,33.7,34.0
15.0,33.6,34.6,33.7,34.0
15.5,33.6,34.5,33.7,34.0
16.0,33.6,34.6,33.7,34.0
16.5,33.6,34.6,33.7,34.0
17.0,33.4,34.6,33.6,34.0
17.5,33.4,34.6,33.6,34.0
18.0,33.4,34.6,33.6,34.0
18.5,33.4,34.6,33.8,34.0
19.0,33.4,34.6,33.7,34.0
19.5,33.5,34.7,33.8,34.1
20.0,33.4,34.6,33.6,34.1
20.5,33.4,34.6,33.6,34.1
21.0,33.4,34.7,33.7,34.1
21.5,33.5,34.8,33.8,34.2
22.0,33.5,34.8,33.8,34.2
22.5,33.4,34.8,33.7,34.2
23.0,33.5,34.8,33.7,34.3
23.5,33.5,34.9,33.9,34.3
24.0,33.7,35.0,33.9,34.3
24.5,33.6,35.1,33.9,34.4
